Gender,Age,PB1,PB2,PB3,PB4,PB5,PB6,PB7,PB8,PB9,PB10,PB11,PB12,PB13,PB14,PB15,PB16,PB17,PB18,STOPD11,STOPD21,STOPD31,STOPD41,STOPD51,Vitality1,Vitality2,Vitality3,Vitality,Health,NSNFAF,NSNFAS,NSNFSF,NSNFSS,NSNFCF,NSNFCS
Man,28,74,43,68,42,55,40,62,41,85,58,59,83,70,51,65,55,11,50,59,60,83,40,38,39,36,49,41.33,3,3,3,2,3,4,2
Woman,19,53,0,39,7,50,0,5,10,0,14,34,0,39,0,62,62,100,93,50,66,45,10,20,61,36,15,37.33,3,2,3,3,3,3,3
Woman,32,55,6,76,85,19,39,100,60,100,76,59,95,61,85,72,79,64,92,36,100,96,5,100,39,12,38,29.67,2,4,4,4,3,4,3
Man,33,95,0,50,0,100,100,20,100,10,90,90,5,100,0,100,100,0,0,0,0,0,5,60,80,85,90,85.00,4,1,5,2,3,1,5
Man,36,90,96,62,61,66,59,37,42,61,52,56,37,61,80,91,54,34,50,46,43,66,41,37,58,36,45,46.33,2,2,3,1,4,4,4
Woman,20,84,52,70,66,62,34,86,47,16,6,63,34,81,43,89,68,15,22,91,84,84,88,19,41,15,44,33.33,1,4,4,4,2,4,2
Man,25,39,0,56,57,61,82,81,73,66,65,76,68,61,68,67,73,2,69,15,8,9,13,18,45,72,76,64.33,3,3,2,4,3,3,3
Woman,49,100,25,100,100,100,26,100,51,100,34,7,100,11,100,100,8,100,100,100,100,100,43,100,4,1,2,2.33,1,4,1,4,4,5,1
Woman,19,81,74,50,50,75,27,37,72,38,95,52,39,39,44,43,64,61,18,37,36,33,76,57,50,57,71,59.33,2,2,3,4,4,3,2
Woman,41,40,50,50,70,50,50,70,50,40,50,50,80,50,50,50,50,50,80,50,80,70,50,100,20,10,10,13.33,1,3,3,3,3,3,1
Man,46,75,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,1,3,3,3,3,3,3
Man,56,72,72,70,43,55,51,57,70,68,65,59,21,62,31,50,63,8,78,17,10,75,16,21,65,74,77,72.00,4,3,3,3,3,4,4
Woman,37,53,23,42,46,57,37,68,58,64,55,55,64,66,58,62,49,51,60,62,58,63,56,51,63,54,61,59.33,2,2,5,3,2,2,2
Woman,67,77,9,48,19,18,89,36,68,41,40,84,41,53,23,18,45,4,13,2,2,16,2,28,66,58,56,60.00,3,2,4,3,3,2,3
Man,33,20,32,30,28,30,55,40,52,46,46,40,54,50,50,42,46,74,51,41,49,67,39,43,33,28,30,30.33,3,3,3,2,3,3,2
Man,27,100,11,100,8,5,100,6,100,50,100,94,50,84,6,6,78,6,9,5,6,8,11,15,100,99,100,99.67,5,1,3,3,2,4,4
Man,30,81,50,80,34,8,100,83,86,42,84,83,49,100,63,79,97,26,65,45,40,75,60,55,80,69,61,70.00,2,3,4,3,1,2,4
Man,28,92,49,89,36,0,100,46,60,51,100,49,14,77,33,100,100,85,100,3,11,6,8,14,38,60,68,55.33,4,3,4,2,3,3,4
Man,26,60,30,31,11,10,80,23,100,40,81,52,12,100,11,100,100,21,19,20,20,39,28,21,80,82,71,77.67,2,2,5,1,5,1,5
Man,40,100,52,54,100,27,100,84,100,90,70,57,100,77,51,42,100,73,77,53,51,69,24,34,72,77,82,77.00,3,3,5,4,5,4,5
Man,68,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,1,5,0,3,12,17,15,14.67,2,1,5,1,4,1,3
Man,32,35,43,49,44,54,55,61,49,58,45,58,49,53,52,51,64,53,53,59,44,52,60,54,45,44,43,44.00,3,3,3,2,3,2,2
Man,75,100,1,50,1,52,69,12,71,1,99,61,1,97,20,12,92,1,1,1,1,1,14,29,51,99,99,83.00,4,1,5,3,3,1,5
Woman,62,80,0,100,0,0,100,70,100,30,100,30,34,100,0,70,100,30,25,20,70,60,25,40,60,60,50,56.67,2,1,5,1,5,1,3
Woman,23,100,0,96,6,1,92,45,86,25,53,56,100,93,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,54,24,52.33,4,2,3,2,3,4,2
Woman,39,100,77,100,2,0,100,30,82,92,83,88,3,82,19,100,100,3,10,22,22,33,18,81,70,75,78,74.33,2,2,4,1,1,1,4
Woman,57,76,15,19,20,27,39,23,64,17,33,68,22,48,25,70,77,11,13,8,6,9,9,9,56,58,80,64.67,2,2,4,2,4,2,4
Woman,23,94,3,85,3,8,90,13,84,78,84,76,6,83,6,75,85,8,0,39,44,75,44,6,84,91,88,87.67,4,3,3,2,4,3,3
Woman,32,60,2,76,12,40,82,53,82,100,61,71,85,70,53,87,33,71,59,55,64,79,46,71,100,35,42,59.00,2,5,2,3,3,3,5
Woman,24,41,NA,53,NA,8,4,8,52,21,24,26,24,27,68,34,21,30,49,38,48,78,51,47,27,8,7,14.00,3,5,2,4,1,5,2
Woman,43,62,4,62,41,51,29,60,61,47,68,55,22,23,26,25,19,30,24,20,88,86,96,78,29,38,39,35.33,1,2,3,3,4,4,3
Woman,42,25,19,56,77,81,21,93,67,91,40,24,89,18,100,60,49,16,88,91,100,100,70,93,38,16,21,25.00,3,4,1,5,2,3,3
Woman,44,36,0,17,31,61,39,78,29,65,100,27,65,29,9,67,43,24,8,47,26,93,69,10,29,15,40,28.00,2,2,1,3,3,5,4
Man,62,83,29,77,15,17,83,90,88,24,86,79,21,87,21,83,82,19,25,2,2,2,2,2,85,84,83,84.00,4,3,4,3,4,3,4
Woman,25,18,55,80,90,42,39,66,33,50,50,65,59,60,36,55,52,84,63,76,62,100,76,19,73,27,46,48.67,2,4,3,4,3,2,3
